,price_eur_mwh,temperature_2m,wind_speed_10m,precipitation_mm,solar_radiation_W
2023-01-06 04:00:00+01:00,75.75,6.420532,0.47248477,0.0013071869,0.0
2023-01-06 05:00:00+01:00,81.0,6.279236,0.49943164,0.0012704747,0.0
2023-01-06 06:00:00+01:00,97.45,6.07312,0.52901787,0.0013560142,0.0
2023-01-06 07:00:00+01:00,107.82,6.023102,0.5440333,0.0015129576,0.0
2023-01-06 08:00:00+01:00,122.8,5.9512634,0.59917307,0.0023832992,0.0
2023-01-06 09:00:00+01:00,125.0,6.0524597,0.6602375,0.00285825,9.576622
2023-01-06 10:00:00+01:00,120.7,7.041626,0.74654746,0.0025960603,97.22021
2023-01-06 11:00:00+01:00,110.05,8.709686,0.92190504,0.003107595,223.8677
2023-01-06 12:00:00+01:00,103.36,10.020264,1.112757,0.0022497466,333.86942
2023-01-06 13:00:00+01:00,90.23,11.027893,1.3208593,0.0017710342,408.5195
2023-01-06 14:00:00+01:00,80.23,11.774292,1.513005,0.002241795,431.31577
2023-01-06 15:00:00+01:00,70.0,12.323761,1.6417528,0.0024861745,394.6019
2023-01-06 16:00:00+01:00,80.43,12.492432,1.7101116,0.002303125,307.45648
2023-01-06 17:00:00+01:00,121.2,12.070496,1.6515069,0.0022145705,179.9597
2023-01-06 18:00:00+01:00,128.47,10.95929,1.6352158,0.001884532,51.289387
2023-01-06 19:00:00+01:00,137.73,9.863495,1.6871371,0.0011812827,1.1192038
2023-01-06 20:00:00+01:00,137.73,9.2430725,1.7581482,0.0015792998,0.0
2023-01-06 21:00:00+01:00,132.0,8.668091,1.8747144,0.0033874249,0.0
2023-01-06 22:00:00+01:00,99.9,8.33017,2.0551615,0.0043324647,0.0
2023-01-06 23:00:00+01:00,91.1,8.034088,2.2845104,0.0066206413,0.0
2023-01-07 00:00:00+01:00,53.42,7.8719482,2.4599829,0.013852022,0.0
2023-01-07 01:00:00+01:00,40.3,7.783264,2.6387057,0.021401785,0.0
2023-01-07 02:00:00+01:00,25.5,7.724884,2.718913,0.044536535,0.0
2023-01-07 03:00:00+01:00,24.8,7.747101,2.8586605,0.072256975,0.0
2023-01-07 04:00:00+01:00,20.0,7.740143,2.9425561,0.12102732,0.0
2023-01-07 05:00:00+01:00,14.85,7.843292,3.0507553,0.15049784,0.0
2023-01-07 06:00:00+01:00,14.85,7.870117,3.1494997,0.17442219,0.0
2023-01-07 07:00:00+01:00,14.0,8.004944,3.250324,0.2155788,0.0
2023-01-07 08:00:00+01:00,18.28,8.120605,3.3706152,0.24603383,0.0
2023-01-07 09:00:00+01:00,20.2,8.45813,3.496375,0.25210044,9.186854
2023-01-07 10:00:00+01:00,18.28,9.344421,3.6703856,0.25612554,81.46673
2023-01-07 11:00:00+01:00,14.0,10.533966,3.7290943,0.24847497,174.47655
2023-01-07 12:00:00+01:00,10.35,11.417389,4.0615926,0.23109907,258.2833
